"continent","year","cases","population"
Oceania,2015,661.3,28497499.00
Oceania,2014,654.4,28117835.00
Oceania,2013,410.3,27735741.00
Oceania,2012,562.8,27347258.00
Oceania,2011,284.9,26946854.00
Oceania,2010,275.3,26531890.00
Oceania,2009,489.2,26099814.00
Oceania,2008,518.7,25655728.00
Oceania,2007,595.6,25213970.00
Oceania,2006,372.8,24793812.00
Europe,2015,5927.1,514671963.00
Europe,2014,4373.0,514495393.00
Europe,2013,4602.6,514263669.00
Europe,2012,3715.3,513969600.00
Europe,2011,3858.9,513601267.00
Europe,2010,3464.4,513156598.00
Europe,2009,5346.6,512631950.00
Europe,2008,4421.5,512050846.00
Europe,2007,4506.4,511471463.00
Europe,2006,4134.5,510969940.00
Europe,2005,4718.3,510601951.00
Europe,2004,3477.7,454257630.00
Europe,2003,3375.0,248271224.00
Asia,2015,754.3,126573481.00
Asia,2014,649.3,126794564.00
Asia,2013,473.6,126984964.00
Asia,2012,297.3,127139821.00
Asia,2011,135.7,127252900.00
Asia,2010,40.5,127319802.00
Asia,2009,405.0,127340884.00
Asia,2008,92.3,127317900.00
Asia,2007,148.6,127250015.00
Asia,2006,111.8,127136576.00
Asia,2005,182.3,126978754.00
Asia,2004,76.9,126773081.00
Asia,2003,45.8,126523884.00
Americas,2015,6535.3,806115259.00
Americas,2014,6585.5,798749900.00
Americas,2013,6675.9,791319184.00
Americas,2012,6224.1,783797269.00
Americas,2011,4920.5,776147551.00
Americas,2010,4859.2,768348196.00
Americas,2009,7772.9,760374998.00
Americas,2008,5967.7,752246643.00
Americas,2007,5983.5,744034887.00
Americas,2006,5904.3,735838672.00
Americas,2005,6077.0,727722088.00
Americas,2004,4834.0,714030574.00
Americas,2003,8857.5,706230369.00
Americas,2002,503.0,207647055.00
Africa,2015,3091.9,54490406.00
Africa,2014,2991.9,53969054.00
Africa,2013,2705.2,53416609.00
Africa,2012,2575.8,52837274.00
Africa,2011,2483.7,52237272.00
Africa,2010,2491.1,51621594.00
Africa,2009,2891.2,50992034.00
Africa,2008,2603.4,50348811.00
Africa,2007,2606.2,49693580.00
Africa,2006,2701.0,49027805.00
